"Player ID","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","vFA (pi)","ERA","xERA","FIP","xFIP","WAR","Year","Years Below Median","Outliers","Outliers No Rookie","Number of Years Played"
6797,10.8571428571429,10.2857142857143,0,31.7142857142857,31.7142857142857,190.271428571429,7.90571428571429,3.07285714285714,1.16714285714286,0.266714285714286,91.5142857142857,3.65428571428571,NA,4.24428571428571,4.39,1.95714285714286,2016,2,0,0,3
6893,12.75,8.875,0,29.375,29.375,185.6,7.665,2.6675,0.98625,0.283875,93.275,3.69,NA,3.9075,3.96875,2.9125,2013,0,0,0,2
6902,9.6,8.6,0,28.2,27.6,161.28,6.408,3.474,0.97,0.2982,93.3,4.344,4.716,4.392,4.632,2.12,2018.8,2,0,0,4
6943,9.5,13.5,0,31.5,31.5,191.55,6.405,2.89,1.18,0.295,93.3,5.205,NA,4.46,4.185,1.8,2011.5,0,0,0,1
6986,12.1428571428571,10.7142857142857,0,32.1428571428571,32.1428571428571,195.642857142857,8.43142857142857,2.91857142857143,1.20428571428571,0.287285714285714,91.5428571428571,3.88571428571429,NA,4.08142857142857,3.96142857142857,2.02857142857143,2013,0,0,0,1
7024,11,8,0,30,28,171.1,6.3,2.78,1.26,0.26,92.4,3.78,NA,4.45,4.31,1.7,2013,0,0,0,1
7080,9.33333333333333,13.6666666666667,0,32.3333333333333,32.3333333333333,190.766666666667,4.94666666666667,3.41,0.943333333333333,0.278,89,3.83,NA,4.59,4.37333333333333,1.16666666666667,2009.33333333333,3,0,0,5
7146,16,12,0,33,33,222,6.85,2.03,0.69,0.295,94.2,3.49,NA,3.28,3.79,4.2,2011,0,0,0,2
7312,11,9,1,33,28,179.1,5.77,1.96,0.9,0.267,74.8,3.46,NA,3.87,4.07,1.6,2014,2,1,0,4
7396,12,11,0,32,32,199,6.42,2.13,1.09,0.296,90.1,3.62,NA,4,4.07,2,2013,2,0,0,3
7410,15,5.5,0,32.5,29.25,177.55,7.9125,2.685,1.0775,0.2795,92.125,3.3425,NA,3.92,4.045,2.625,2014.5,2,0,0,3
7441,11.5,10,0,29,29,176,5.595,3.2,1.21,0.276,92.8,4.26,NA,4.73,4.715,1.25,2010.5,0,0,0,4
7448,13.75,9.5,0,32,32,190.1,8.5225,3.67375,0.7275,0.29125,92.425,3.51625,NA,3.56875,3.84125,3.4125,2014,1,0,0,3
7450,16.6666666666667,10.3333333333333,0,31.6666666666667,31,192.133333333333,7.73,1.93666666666667,1.20666666666667,0.294333333333333,93.1,3.96666666666667,NA,3.82,3.88666666666667,3.76666666666667,2012,0,0,0,1
7531,16,8.5,0,32.5,32.5,193.7,8.095,2.485,1.03,0.324,91.15,4.115,3.42,3.765,4,3.1,2015.5,2,1,0,4
7541,11,11,0,32,32,193.2,6.51,3.62,0.6,0.289,93.5,3.76,NA,3.75,3.89,2.7,2012,1,0,0,3
7593,11,12,0,32,31,179.5,7.27,2.705,1.605,0.306,92.6,4.785,5.155,4.87,4.56,0.75,2021.5,0,0,0,2
7608,13,10,0,31,31,190,6.49,1.71,1.14,0.31,88.4,3.74,NA,3.93,4.02,3.1,2012,1,0,0,3
7667,13,9,0,32,32,193.1,5.77,1.72,0.98,0.302,78.9,4.38,NA,3.91,4.3,3.9,2008,0,0,0,1
7738,14,13,0,32,32,190.65,6.655,3.17,0.985,0.294,95.85,3.95,NA,4.205,3.885,1.2,2013.5,1,0,0,3
7754,11.25,7.5,0,31.5,30.75,176.125,7.385,2.4875,1.43,0.27975,90.15,3.9075,4.615,4.545,4.465,1.75,2017,0,0,0,2
7872,11.5,13,0,32,32,195.6,9.35,3.585,0.505,0.3055,94.15,3.035,NA,3.11,3.13,3.3,2014.5,0,0,0,1
8011,9.5,15,0,32.5,32.5,189.6,5.735,2.035,1.065,0.299,88.25,4.115,NA,4.08,4.15,1.4,2013.5,1,0,0,2
8044,12.4,11.4,0,31.6,31.6,195.3,6,2.464,1.108,0.2798,87.7,3.95,NA,4.246,4.498,2.32,2012.8,1,0,0,1
